[2021-09-14 10:37:18,432] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:37:18,432] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:37:18,433] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:37:18,436] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:37:18,436] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:37:18,436] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:37:18,534] - [root] - [INFO] - Successfully Get Submissions. (TIOJ_Crawler.py:25)
[2021-09-14 10:37:18,534] - [root] - [INFO] - Successfully Get Status. #TIOJ1719 #sa072686 #AC. (TIOJ_Crawler.py:43)
[2021-09-14 10:37:18,535] - [root] - [INFO] - Lock acquired by Worker 3. (Master.py:40)
[2021-09-14 10:37:18,535] - [root] - [INFO] - Set result. Username: arashi87, judge: tioj, problem: 1719, result: AC (Master.py:47)
[2021-09-14 10:37:18,535] - [root] - [INFO] - Lock released by Worker 3. (Master.py:50)
[2021-09-14 10:37:20,344] - [root] - [INFO] - Successfully Get ProblemNum 1595's  ProblemID: 4470. (UVa_Crawler.py:38)
[2021-09-14 10:37:20,344] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:20,360] - [root] - [INFO] - Successfully Get ProblemNum 1586's  ProblemID: 4461. (UVa_Crawler.py:38)
[2021-09-14 10:37:20,361] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:20,427] - [root] - [INFO] - Successfully Get ProblemNum 1585's  ProblemID: 4460. (UVa_Crawler.py:38)
[2021-09-14 10:37:20,428] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:21,474] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:21,475] - [root] - [INFO] - Successfully Get Status. #UVa1586 #1002251 #AC. (UVa_Crawler.py:90)
[2021-09-14 10:37:21,475] - [root] - [INFO] - Lock acquired by Worker 2. (Master.py:40)
[2021-09-14 10:37:21,475] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1586, result: AC (Master.py:47)
[2021-09-14 10:37:21,476] - [root] - [INFO] - Lock released by Worker 2. (Master.py:50)
[2021-09-14 10:37:21,504] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:21,504] - [root] - [INFO] - Successfully Get Status. #UVa1595 #1002251 #NE. (UVa_Crawler.py:66)
